Index,HexValue,DecimalValue,Timestamp
1,DA15,55829,2026-04-04 23:59:04.780
2,2F3D,12093,2026-04-04 23:59:04.783
3,8A37,35383,2026-04-04 23:59:04.786
4,6C20,27680,2026-04-04 23:59:04.789
5,0268,616,2026-04-04 23:59:04.793
6,CC19,52249,2026-04-04 23:59:04.796
7,B098,45208,2026-04-04 23:59:04.799
8,950C,38156,2026-04-04 23:59:04.802
9,E764,59236,2026-04-04 23:59:04.805
10,7B0F,31503,2026-04-04 23:59:04.808
11,D25C,53852,2026-04-04 23:59:04.811
12,4855,18517,2026-04-04 23:59:04.815
13,3F0D,16141,2026-04-04 23:59:04.818
14,614F,24911,2026-04-04 23:59:04.821
15,BC9E,48286,2026-04-04 23:59:04.824
16,F252,62034,2026-04-04 23:59:04.827
17,BB13,47891,2026-04-04 23:59:04.830
18,F041,61505,2026-04-04 23:59:04.833
19,70AB,28843,2026-04-04 23:59:04.837
20,0C7D,3197,2026-04-04 23:59:04.840
21,B0AA,45226,2026-04-04 23:59:04.843
22,04A9,1193,2026-04-04 23:59:04.846
23,810E,33038,2026-04-04 23:59:04.849
24,6DFC,28156,2026-04-04 23:59:04.852
25,E130,57648,2026-04-04 23:59:04.855
26,3DDC,15836,2026-04-04 23:59:04.859
27,DB57,56151,2026-04-04 23:59:04.862
28,1DD0,7632,2026-04-04 23:59:04.865
29,744F,29775,2026-04-04 23:59:04.868
30,40CA,16586,2026-04-04 23:59:04.871
31,1418,5144,2026-04-04 23:59:04.874
32,CE64,52836,2026-04-04 23:59:04.877
33,4C1F,19487,2026-04-04 23:59:04.881
34,139C,5020,2026-04-04 23:59:04.884
35,F0F8,61688,2026-04-04 23:59:04.887
36,C420,50208,2026-04-04 23:59:04.890
37,1EF3,7923,2026-04-04 23:59:04.893
38,C02C,49196,2026-04-04 23:59:04.896
39,D246,53830,2026-04-04 23:59:04.899
40,0182,386,2026-04-04 23:59:04.903
41,C08B,49291,2026-04-04 23:59:04.906
42,3F37,16183,2026-04-04 23:59:04.909
43,0A3C,2620,2026-04-04 23:59:04.912
44,B476,46198,2026-04-04 23:59:04.915
45,E039,57401,2026-04-04 23:59:04.918
46,E61E,58910,2026-04-04 23:59:04.921
47,586E,22638,2026-04-04 23:59:04.925
48,3EE9,16105,2026-04-04 23:59:04.928
49,3104,12548,2026-04-04 23:59:04.931
50,EA33,59955,2026-04-04 23:59:04.934
51,7D51,32081,2026-04-04 23:59:04.937
52,DAE2,56034,2026-04-04 23:59:04.940
53,2754,10068,2026-04-04 23:59:04.943
54,4468,17512,2026-04-04 23:59:04.947
55,F0E7,61671,2026-04-04 23:59:04.950
56,C2AE,49838,2026-04-04 23:59:04.953
57,8988,35208,2026-04-04 23:59:04.956
58,8528,34088,2026-04-04 23:59:04.959
59,C838,51256,2026-04-04 23:59:04.962
60,C0E7,49383,2026-04-04 23:59:04.965
61,D85D,55389,2026-04-04 23:59:04.968
62,0D30,3376,2026-04-04 23:59:04.972
63,F7AC,63404,2026-04-04 23:59:04.975
64,3F06,16134,2026-04-04 23:59:04.978
65,C5F7,50679,2026-04-04 23:59:04.981
66,E8C6,59590,2026-04-04 23:59:04.984
67,636A,25450,2026-04-04 23:59:04.987
68,470A,18186,2026-04-04 23:59:04.990
69,551D,21789,2026-04-04 23:59:04.994
70,B87C,47228,2026-04-04 23:59:04.997
71,2043,8259,2026-04-04 23:59:05.000
72,FBA6,64422,2026-04-04 23:59:05.003
73,8510,34064,2026-04-04 23:59:05.006
74,8452,33874,2026-04-04 23:59:05.009
75,D4C5,54469,2026-04-04 23:59:05.012
76,AEF4,44788,2026-04-04 23:59:05.016
77,88A4,34980,2026-04-04 23:59:05.019
78,3A83,14979,2026-04-04 23:59:05.022
79,D19B,53659,2026-04-04 23:59:05.025
80,A94A,43338,2026-04-04 23:59:05.028
81,8E4A,36426,2026-04-04 23:59:05.031
82,08E3,2275,2026-04-04 23:59:05.034
83,F30E,62222,2026-04-04 23:59:05.038
84,5D30,23856,2026-04-04 23:59:05.041
85,2139,8505,2026-04-04 23:59:05.044
86,5345,21317,2026-04-04 23:59:05.047
87,E461,58465,2026-04-04 23:59:05.050
88,E7D4,59348,2026-04-04 23:59:05.053
89,B789,46985,2026-04-04 23:59:05.056
90,058D,1421,2026-04-04 23:59:05.060
91,C8B2,51378,2026-04-04 23:59:05.063
92,2F8E,12174,2026-04-04 23:59:05.066
93,8740,34624,2026-04-04 23:59:05.069
94,7D30,32048,2026-04-04 23:59:05.072
95,D5EC,54764,2026-04-04 23:59:05.075
96,A9B7,43447,2026-04-04 23:59:05.078
97,121E,4638,2026-04-04 23:59:05.082
98,952E,38190,2026-04-04 23:59:05.085
99,4788,18312,2026-04-04 23:59:05.088
100,A29B,41627,2026-04-04 23:59:05.091
101,4CA0,19616,2026-04-04 23:59:05.094
102,C54C,50508,2026-04-04 23:59:05.097
103,49DE,18910,2026-04-04 23:59:05.100
104,C103,49411,2026-04-04 23:59:05.104
105,B727,46887,2026-04-04 23:59:05.107
106,6162,24930,2026-04-04 23:59:05.110
107,5043,20547,2026-04-04 23:59:05.113
108,43FB,17403,2026-04-04 23:59:05.116
109,D1D1,53713,2026-04-04 23:59:05.119
110,FC60,64608,2026-04-04 23:59:05.122
111,CF55,53077,2026-04-04 23:59:05.126
112,FAFE,64254,2026-04-04 23:59:05.129
113,7F68,32616,2026-04-04 23:59:05.132
114,56EE,22254,2026-04-04 23:59:05.135
115,7DD2,32210,2026-04-04 23:59:05.138
116,112D,4397,2026-04-04 23:59:05.141
117,8566,34150,2026-04-04 23:59:05.144
118,6882,26754,2026-04-04 23:59:05.148
119,1BAF,7087,2026-04-04 23:59:05.151
120,7EB8,32440,2026-04-04 23:59:05.154
121,A606,42502,2026-04-04 23:59:05.157
122,A32D,41773,2026-04-04 23:59:05.160
123,479A,18330,2026-04-04 23:59:05.163
124,FE87,65159,2026-04-04 23:59:05.166
125,0422,1058,2026-04-04 23:59:05.170
126,09BF,2495,2026-04-04 23:59:05.173
127,8651,34385,2026-04-04 23:59:05.176
128,CAFF,51967,2026-04-04 23:59:05.179
129,5EE6,24294,2026-04-04 23:59:05.182
130,C226,49702,2026-04-04 23:59:05.185
131,83EF,33775,2026-04-04 23:59:05.188
132,F27A,62074,2026-04-04 23:59:05.192
133,6B61,27489,2026-04-04 23:59:05.195
134,D519,54553,2026-04-04 23:59:05.198
135,6010,24592,2026-04-04 23:59:05.201
136,FF05,65285,2026-04-04 23:59:05.204
137,0A97,2711,2026-04-04 23:59:05.207
138,6FBA,28602,2026-04-04 23:59:05.210
139,8C89,35977,2026-04-04 23:59:05.214
140,6389,25481,2026-04-04 23:59:05.217
141,5A8D,23181,2026-04-04 23:59:05.220
142,F235,62005,2026-04-04 23:59:05.223
143,B016,45078,2026-04-04 23:59:05.226
144,C872,51314,2026-04-04 23:59:05.229
