fingerprint_id,status,created_at,last_matched,match_count
1,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
2,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
3,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
4,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
5,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
6,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
7,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
8,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
9,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
10,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
11,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
12,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
13,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
14,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
15,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
16,VERIFIED,2026-04-02T04:37:52.321955+00:00,2026-04-02T04:37:52.321955+00:00,0
